date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:41	170/170	---MC-	200	added ('OK')	text/plain	date:Mon,%2027%20Apr%202020%2020:37:43%20GMT	https://skywarriorthemes.com/robots.txt		(from )
16:37:43	213201/213201	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202020%2020:37:43%20GMT	https://skywarriorthemes.com/respawn/esports/	C:/Users/carro/Desktop/ples/calamity/skywarriorthemes.com/respawn/esports/index.html	(from )
16:37:43	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2027%20Apr%202020%2020:37:45%20GMT	https://skywarriorthemes.com/respawn/xmlrpc.php	C:/Users/carro/Desktop/ples/calamity/skywarriorthemes.com/respawn/xmlrpc.php	(from https://skywarriorthemes.com/respawn/esports/)
16:37:43	2166/2166	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Nov%202019%2010:33:52%20GMT	https://skywarriorthemes.com/respawn/wp-content/plugins/respawn-types/wp-team-matches/components/tipsy/src/stylesheets/tipsy.css?ver=5.4	C:/Users/carro/Desktop/ples/calamity/skywarriorthemes.com/respawn/wp-content/plugins/respawn-types/wp-team-matches/components/tipsy/src/stylesheets/tipsy91d5.css	(from https://skywarriorthemes.com/respawn/esports/)
16:37:44	10491/10491	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Nov%202019%2010:33:52%20GMT	https://skywarriorthemes.com/respawn/wp-content/plugins/respawn-types/wp-team-matches/css/flags.css?ver=1.01	C:/Users/carro/Desktop/ples/calamity/skywarriorthemes.com/respawn/wp-content/plugins/respawn-types/wp-team-matches/css/flags60c6.css	(from https://skywarriorthemes.com/respawn/esports/)
16:37:45	22659/22659	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Nov%202019%2010:34:32%20GMT	https://skywarriorthemes.com/respawn/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.9.2	C:/Users/carro/Desktop/ples/calamity/skywarriorthemes.com/respawn/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider2cfc.css	(from https://skywarriorthemes.com/respawn/esports/)
16:37:45	232/232	---M--	302	error ('Found')	text/html	date:Mon,%2027%20Apr%202020%2020:37:46%20GMT	http://maps.googleapis.com/	C:/Users/carro/Desktop/ples/calamity/maps.googleapis.com/index.html	(from https://skywarriorthemes.com/respawn/esports/)
16:37:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Apr%202020%2020:37:47%20GMT	http://s.w.org/	C:/Users/carro/Desktop/ples/calamity/s.w.org/index.html	(from https://skywarriorthemes.com/respawn/esports/)
16:37:45	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Apr%202020%2020:37:47%20GMT	http://fonts.googleapis.com/	C:/Users/carro/Desktop/ples/calamity/fonts.googleapis.com/index.html	(from https://skywarriorthemes.com/respawn/esports/)
16:37:45	1583/1583	---MC-	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202020%2020:37:47%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,regular,500,600,700%7CQuicksand:300,regular&subset=latin%2Clatin-ext	C:/Users/carro/Desktop/ples/calamity/fonts.googleapis.com/cssb7e8.css	(from https://skywarriorthemes.com/respawn/esports/)
